InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
INV100000,P1000,Smartwatch,1,2023-02-04,267.27,10092,Spain,267.27
INV100001,P1001,Backpack,8,2023-09-03,148.54,10134,France,1188.32
INV100002,P1002,Headphones,4,2023-08-25,316.31,10115,Netherlands,1265.24
INV100003,P1003,Mouse,6,2023-04-14,63.38,10171,France,380.28000000000003
INV100004,P1004,Keyboard,8,2023-01-07,329.2,10072,United Kingdom,2633.6
INV100005,P1005,Charger,4,2023-10-10,145.23,10069,Germany,580.92
INV100006,P1006,Phone Case,3,2023-01-01,5.12,10087,Spain,15.36
INV100007,P1007,Headphones,9,2023-08-07,67.83,10119,Italy,610.47
INV100008,P1008,Smartwatch,3,2023-08-18,467.14,10115,Netherlands,1401.42
INV100009,P1009,Laptop,9,2023-06-21,434.34,10026,United Kingdom,3909.06
INV100010,P1010,Keyboard,2,2023-03-28,120.64,10171,France,241.28
INV100011,P1011,Backpack,2,2023-02-10,390.29,10092,Netherlands,780.58
INV100012,P1012,Headphones,2,2023-05-03,306.24,10171,Spain,612.48
INV100013,P1013,Headphones,6,2023-11-27,485.6,10120,Netherlands,2913.6000000000004
INV100014,P1014,Charger,3,2023-10-25,189.93,10087,Germany,569.79
INV100015,P1015,Mouse,9,2023-06-27,342.32,10013,Norway,3080.88
INV100016,P1016,Smartwatch,4,2023-03-04,36.45,10143,Norway,145.8
INV100017,P1017,Smartwatch,1,2023-06-14,201.14,10147,Norway,201.14
INV100018,P1018,Keyboard,4,2023-07-06,482.09,10027,Spain,1928.36
INV100019,P1019,Phone Case,1,2023-07-28,271.8,10053,Germany,271.8
INV100020,P1000,Monitor,5,2023-08-15,147.5,10160,United Kingdom,737.5
INV100021,P1001,Phone Case,4,2023-02-17,64.53,10010,France,258.12
INV100022,P1002,Phone Case,8,2023-08-12,353.25,10151,Norway,2826.0
INV100023,P1003,Phone Case,8,2023-01-03,324.2,10198,Germany,2593.6
INV100024,P1004,Charger,7,2023-06-24,190.1,10115,France,1330.7
INV100025,P1005,Smartwatch,3,2023-04-09,475.72,10041,Netherlands,1427.16
INV100026,P1006,Keyboard,1,2023-04-26,15.99,10128,Germany,15.99
INV100027,P1007,Smartwatch,1,2023-09-27,155.34,10011,Italy,155.34
INV100028,P1008,Charger,3,2023-09-10,460.93,10044,Germany,1382.79
INV100029,P1009,Phone Case,6,2023-11-13,163.86,10143,Netherlands,983.1600000000001
INV100030,P1010,Backpack,7,2023-04-05,129.87,10128,Netherlands,909.09
INV100031,P1011,Smartwatch,6,2023-09-30,269.44,10188,Italy,1616.6399999999999
INV100032,P1012,Backpack,6,2023-01-24,412.78,10058,Spain,2476.68
INV100033,P1013,Backpack,6,2023-04-26,56.06,10139,Germany,336.36
